location,collected by,date,gps,cover,height,common,spp_code,spp,notes
heron,finn,5/27/2023,hrn3114,1,1,NA,NA,NA,trans 4 -> HERG nest ~3m out of range
heron,finn,5/27/2023,hrn2936,1,1,NA,NA,NA,"1) HERG nest w/ 3 eggs just out of range, 2) HERG w/ 2 1m off, 1 w/in radius (don't want to double count)"
heron,finn,5/27/2023,hrn3058,100,2,valerian,val off,valeriana officinalis,
heron,finn,5/27/2023,hrn3058,100,2,dandelion,tar off,taraxacum officinale,(drawing on datasheet of leaf margin)
heron,finn,5/27/2023,hrn3058,100,2,stinging nettle,urt dio,urtica dioica,
heron,finn,5/27/2023,hrn3058,100,2,strawberry,fra vir,fragaria virginiana,
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Caryophalles (#77),
heron,finn,5/27/2023,hrn3058,100,2,corn speedwell,ver arv,veronica arvensis,
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn3058,100,2,bittersweet nightshade,sol dul,solanum dulcamara,
heron,finn,5/27/2023,hrn3058,100,2,unknown,unk,Thistle (#75),
heron,finn,5/27/2023,hrn3058,100,2,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Thistle (#75),
heron,finn,5/27/2023,hrn3077,100,2,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Poa #3,
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn3077,100,2,stinging nettle,urt dio,urtica dioica,
heron,finn,5/27/2023,hrn3077,100,2,white clover,tri rep,trifolium repens,
heron,finn,5/27/2023,hrn3077,100,2,dandelion,tar off,taraxacum officinale,
heron,finn,5/27/2023,hrn3077,100,2,unknown,unk,Caryophalles (#77),
heron,finn,5/27/2023,hrn2914,100,3,buttercup,ran acr,ranunculus acris,
heron,finn,5/27/2023,hrn2914,100,3,dandelion,tar off,taraxacum officinale,(drawing on datasheet of leaf margin)
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Poa spp #73,
heron,finn,5/27/2023,hrn2914,100,3,marsh vetch,lat pal,lathyrus palustris,(lat pal marsh vetch)
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Rubus shrub spp. (#32),
heron,finn,5/27/2023,hrn2914,100,3,unknown,unk,Poa spp #19,edge of colony
heron,finn,5/27/2023,hrn3215,100,3,unknown,unk,Rubus shrub spp. (#32),
heron,finn,5/27/2023,hrn3215,100,3,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn3215,100,3,stinging nettle,urt dio,urtica dioica,
heron,finn,5/27/2023,hrn3215,100,3,unknown,unk,Poa #3,
heron,finn,5/27/2023,hrn3215,100,3,unknown,unk,Solidago (#100),
heron,finn,5/27/2023,hrn3215,100,3,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn3215,100,3,unknown,unk,Cleavers (#37),
heron,finn,5/27/2023,hrn2772,25,2,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn2772,25,2,broadleaf plantain,pla maj,plantago major,
heron,finn,5/27/2023,hrn2772,25,2,unknown,unk,Rosaceae #95,
heron,finn,5/27/2023,hrn2772,25,2,unknown,unk,Poa spp (tufting),
heron,finn,5/27/2023,hrn2772,25,2,beach vetchling,lat jap,lathyrus japonicus,
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Strawberry,(on edge of height class 3)
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Solidago (#100),
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Caryophalles (#77),
heron,finn,5/27/2023,hrn3322,75,2,northern blue flag,iri ver,iris versicolor,
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn3322,75,2,unknown,unk,Lamiales (#39),
heron,finn,5/27/2023,hrn2911,1,1,NA,NA,NA,lots of Solanum dulcamara on this section just outside plot
heron,finn,5/27/2023,hrn2970,100,3,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn2970,100,3,stinging nettle,urt dio,urtica dioica,
heron,finn,5/27/2023,hrn2970,100,3,bittersweet nightshade,sol dul,solanum dulcamara,
heron,finn,5/27/2023,hrn2694,100,3,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn2694,100,3,unknown,unk,Solidago (#100),
heron,finn,5/27/2023,hrn2694,100,3,unknown,unk,Lamiales (#39),
heron,finn,5/27/2023,hrn2694,100,3,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn2694,100,3,strawberry,fra vir,fragaria virginiana,
heron,finn,5/27/2023,hrn2694,100,3,kentucky bluegrass,poa pra,poa pratensis,
heron,finn,5/27/2023,hrn2694,100,3,buttercup,ran acr,ranunculus acris,
heron,finn,5/27/2023,hrn2694,100,3,valerian,val off,valeriana officionalis,
heron,finn,5/27/2023,hrn2749,50,2,silverweed,pot ans,potentilla anserina,
heron,finn,5/27/2023,hrn2749,50,2,beach vetchling,lat jap,lathyrus japonicus,
heron,finn,5/27/2023,hrn2749,50,2,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn2749,50,2,unknown,unk,Solidago (#100),
heron,finn,5/27/2023,hrn2749,50,2,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn2749,50,2,valerian,val off,Valeriana officionalis,
heron,finn,5/27/2023,hrn2749,50,2,unknown,unk,Poaceae #84,(Elymus?)
heron,finn,5/27/2023,hrn3342,1,1,NA,NA,NA,berm
heron,finn,5/27/2023,hrn2967,100,3,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn2967,100,3,strawberry,fra vir,fragaria virginiana,
heron,finn,5/27/2023,hrn2967,100,3,yarrow,ach mil,achillea millefolium,
heron,finn,5/27/2023,hrn2967,100,3,unknown,unk,Caryophalles (#77),
heron,finn,5/27/2023,hrn2967,100,3,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn2967,100,3,hedge bindweed,cal sep,calystegia sepium,
heron,finn,5/27/2023,hrn2967,100,3,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3044,100,1,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn3044,100,1,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3044,100,1,unknown,unk,Rubus shrub spp. (#32),
heron,finn,5/27/2023,hrn3044,100,1,canada mayflower,mai can,maianthemum canadense,
heron,finn,5/27/2023,hrn3044,100,1,unknown,unk,Sedge #82,
heron,finn,5/27/2023,hrn2752,100,2,buttercup,ran acr,ranunculus acris,
heron,finn,5/27/2023,hrn2752,100,2,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn2752,100,2,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn2752,100,2,kentucky bluegrass,poa pra,Poa pratensis,
heron,finn,5/27/2023,hrn3209,100,3,unknown,unk,Poa spp #19,
heron,finn,5/27/2023,hrn3209,100,3,unknown,unk,Thistle (#75),
heron,finn,5/27/2023,hrn3209,100,3,unknown,unk,Solidago (#64),
heron,finn,5/27/2023,hrn3209,100,3,dandelion,tar off,taraxacum officionale,
heron,finn,5/27/2023,hrn3209,100,3,unknown,unk,Vetch #99,
heron,finn,5/27/2023,hrn2999,100,2,unknown,unk,Solidago #64,
heron,finn,5/27/2023,hrn2999,100,2,unknown,unk,Thistle (#75),
heron,finn,5/27/2023,hrn2999,100,2,unknown,unk,Cleavers (#37),
shabby,finn + taylor,5/31/2023,shab653,100,3,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab653,100,3,seabeach dock,rum pal,Rumex pallidus,
shabby,finn + taylor,5/31/2023,shab653,100,3,burdock,arctium,arctium sp,
shabby,finn + taylor,5/31/2023,shab653,100,3,raspberry,rub ida,rubus idaeus,
shabby,finn + taylor,5/31/2023,shab653,100,3,unknown,unk,#5,
shabby,finn + taylor,5/31/2023,shab640,50,4,stinging nettle,urt dio,urtica dioica,
shabby,finn + taylor,5/31/2023,shab640,50,4,raspberry,rub ida,rubus idaeus,
shabby,finn + taylor,5/31/2023,shab640,50,4,burdock,arctium,arctium sp,
shabby,finn + taylor,5/31/2023,shab649,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab621,75,2,stinging nettle,urt dio,urtica dioica,
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Poa pratensis (#6),
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Thistle sp,
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,Calamagrostis #8,(calam. C.f. #8)
shabby,finn + taylor,5/31/2023,shab621,75,2,unknown,unk,young yarrow? #56,
shabby,finn + taylor,5/31/2023,shab621,75,2,american wild mint,men can,Mentha canadensis,
shabby,finn + taylor,5/31/2023,shab633,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab617,100,3,bittersweet nightshade,sol dul,solanum dulcamara,
shabby,finn + taylor,5/31/2023,shab617,100,3,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab630,75,4,,,,wtf taylor
shabby,finn + taylor,5/31/2023,shab616,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab638,100,1,unknown,unk,Poa pratensis (#6),
shabby,finn + taylor,5/31/2023,shab649,100,2,stinging nettle,urt dio,urtica dioica,
shabby,finn + taylor,5/31/2023,shab649,100,2,unknown,unk,Poa pratensis (#16),
shabby,finn + taylor,5/31/2023,shab649,100,2,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,unk,Solidago #2,
shabby,finn + taylor,5/31/2023,shab646,100,2,unknown,unk,Atriplex #35,
shabby,finn + taylor,5/31/2023,shab635,100,1,corn speedwell,ver arv,veronica arvensis,
shabby,finn + taylor,5/31/2023,shab635,100,1,yarrow,ach mil,achillea millefolium,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,Atriplex #35,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,Poa pratensis (#16),
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,young yarrow? #56,
shabby,finn + taylor,5/31/2023,shab635,100,1,unknown,unk,Veronica #1,
shabby,finn + taylor,5/31/2023,shab614,1,1,NA,NA,NA,
shabby,finn + taylor,5/31/2023,shab611,100,2,unknown,unk,Poa pratensis #16),
shabby,finn + taylor,5/31/2023,shab611,100,2,bittersweet nightshade,sol dul,solanum dulcamara,
shabby,finn + taylor,5/31/2023,shab644,50,1,unknown,unk,#53,
shabby,finn + taylor,5/31/2023,shab644,50,1,pineappleweed,mat dis,matricaria discoidea,
shabby,finn + taylor,5/31/2023,shab644,50,1,yarrow,ach mil,achillea millefolium,
shabby,finn + taylor,5/31/2023,shab644,50,1,unknown,unk,grass #54,
shabby,finn + taylor,5/31/2023,shab621,100,2,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab629,5,1,stinging nettle,urt dio,urtica dioica,
shabby,finn + taylor,5/31/2023,shab629,5,1,unknown,unk,Calamagrostis #8,
shabby,finn + taylor,5/31/2023,shab629,5,1,unknown,unk,Poa pratensis (#16),
GDI,finn,7/12/2023,gdi168,100,3,red fescue,fes rub,festuca rubra,
GDI,finn,7/12/2023,gdi168,100,3,yarrow,ach mil,achillea millefolium,
GDI,finn,7/12/2023,gdi168,100,3,raspberry,rub ida,rubus idaeus,
GDI,finn,7/12/2023,gdi168,100,3,seaside goldenrod,sol sem,solidago sempervirens,
GDI,finn,7/12/2023,gdi168,100,3,flat-topped aster,doe umb,doellingeria umbellata,
GDI,finn,7/12/2023,gdi168,100,3,swamp dewberry,rub his,rubus hispidus,
GDI,finn,7/12/2023,gdi168,100,3,creeping bentgrass,agr sto,agrostis stolonifera,
GDI,finn,7/12/2023,gdi168,100,3,kentucky bluegrass,poa pra,poa pratensis,
GDI,finn,7/12/2023,gdi168,100,3,meadow hawkweed,hie cae,hieracium caespitosum,
GDI,finn,7/12/2023,gdi942,100,3,field chickweed,cer arv,cerastium arvense,
GDI,finn,7/12/2023,gdi942,100,3,raspberry,rub ida,rubus idaeus,
GDI,finn,7/12/2023,gdi942,100,3,buttercup,ran acr,ranunculus acris,
GDI,finn,7/12/2023,gdi942,100,3,strawberry,fra vir,fragaria virginiana,
GDI,finn,7/12/2023,gdi942,100,3,red fescue,fes rub,festuca rubra,
GDI,finn,7/12/2023,gdi942,100,3,seaside goldenrod,sol sem,solidago sempervirens,
GDI,finn,7/12/2023,gdi942,100,3,sheep sorrel,rum ace,rumex acetosella,
GDI,finn,7/12/2023,gdi942,100,3,meadow hawkweed,hie cae,hieracium caespitosum,
GDI,finn,7/12/2023,gdi942,100,3,unknown,unk,Dock sp #45,
GDI,finn,7/12/2023,gdi624,100,2,seaside goldenrod,sol sem,solidago sempervirens,
GDI,finn,7/12/2023,gdi624,100,2,wrinkleleaf goldenrod,sol rug,solidago rugosa,
GDI,finn,7/12/2023,gdi624,100,2,strawberry,fra vir,fragaria virginiana,
GDI,finn,7/12/2023,gdi624,100,2,red fescue,fes rub,festuca rubra,
GDI,finn,7/12/2023,gdi624,100,2,field chickweed,cer arv,cerastium arvense,
GDI,finn,7/12/2023,gdi314,100,3,yarrow,ach mil,achillea millefolium,
GDI,finn,7/12/2023,gdi314,100,3,raspberry,rub ida,rubus idaeus,
GDI,finn,7/12/2023,gdi314,100,3,field chickweed,cer arv,cerastium arvense,
GDI,finn,7/12/2023,gdi314,100,3,seaside goldenrod,sol sem,solidago sempervirens,
GDI,finn,7/12/2023,gdi314,100,3,strawberry,fra vir,fragaria virginiana,
GDI,finn,7/12/2023,gdi314,100,3,sheep sorrel,rum ace,rumex acetosella,"Right next to trampled bare ""lawn"" of nest #913"
GDI,finn,7/12/2023,gdi899,1,1,NA,NA,NA,berm
GDI,finn,7/12/2023,gdi340,1,1,NA,NA,NA,berm
GDI,finn,7/12/2023,gdi541,100,4,buttercup,ran acr,ranunculus acris,
GDI,finn,7/12/2023,gdi541,100,4,raspberry,rub ida,rubus idaeus,
GDI,finn,7/12/2023,gdi541,100,4,dodder,cus gro,cuscuta gronovii,
GDI,finn,7/12/2023,gdi541,100,4,spotted jewelweed,imp cap,impatiens capensis,
GDI,finn,7/12/2023,gdi541,100,4,unknown,unk,Lamiaceae #30,
GDI,finn,7/12/2023,gdi67,100,2,wrinkleleaf goldenrod,sol rug,solidago rugosa,
GDI,finn,7/12/2023,gdi67,100,2,seaside goldenrod,sol sem,solidago sempervirens,
GDI,finn,7/12/2023,gdi67,100,2,sheep sorrel,rum ace,rumex acetosella,
